Dataset,Optimizer,Topology,Emigration,ChoiceEmi,ChoiceImm,NumberEmiImm,IntervalEmiImm,ObjfName,k,ExecutionTime,SSE
balance,SSA_mpi,RING,REMOVE,BEST,RANDOM,4,4,SSE,3,43.51,138.89
balance,PSO_mpi,RING,REMOVE,BEST,RANDOM,4,4,SSE,3,44.16,138.9
balance,GA_mpi,RING,REMOVE,BEST,RANDOM,4,4,SSE,3,43.89,139.87
balance,BAT_mpi,RING,REMOVE,BEST,RANDOM,4,4,SSE,3,41.98,138.9
balance,FFA_mpi,RING,REMOVE,BEST,RANDOM,4,4,SSE,3,45.22,138.89
balance,GWO_mpi,RING,REMOVE,BEST,RANDOM,4,4,SSE,3,44.02,138.92
balance,WOA_mpi,RING,REMOVE,BEST,RANDOM,4,4,SSE,3,43.26,140.21
balance,MVO_mpi,RING,REMOVE,BEST,RANDOM,4,4,SSE,3,43.7,138.9
balance,MFO_mpi,RING,REMOVE,BEST,RANDOM,4,4,SSE,3,43.66,138.92
balance,CS_mpi,RING,REMOVE,BEST,RANDOM,4,4,SSE,3,86.16,140.71
balance,SSA_mpi,RING,REMOVE,WORST,BEST,4,4,SSE,3,43.87,138.89
balance,PSO_mpi,RING,REMOVE,WORST,BEST,4,4,SSE,3,42.52,138.9
balance,GA_mpi,RING,REMOVE,WORST,BEST,4,4,SSE,3,45.14,142.99
balance,BAT_mpi,RING,REMOVE,WORST,BEST,4,4,SSE,3,42.42,138.9
balance,FFA_mpi,RING,REMOVE,WORST,BEST,4,4,SSE,3,44.93,138.91
balance,GWO_mpi,RING,REMOVE,WORST,BEST,4,4,SSE,3,44.33,138.92
balance,WOA_mpi,RING,REMOVE,WORST,BEST,4,4,SSE,3,42.91,140.44
balance,MVO_mpi,RING,REMOVE,WORST,BEST,4,4,SSE,3,42.97,138.9
balance,MFO_mpi,RING,REMOVE,WORST,BEST,4,4,SSE,3,43.36,138.97
balance,CS_mpi,RING,REMOVE,WORST,BEST,4,4,SSE,3,85.77,140.28
balance,SSA_mpi,RING,REMOVE,WORST,WORST,4,4,SSE,3,44.17,138.89
balance,PSO_mpi,RING,REMOVE,WORST,WORST,4,4,SSE,3,43.21,138.9
balance,GA_mpi,RING,REMOVE,WORST,WORST,4,4,SSE,3,43.26,142.88
balance,BAT_mpi,RING,REMOVE,WORST,WORST,4,4,SSE,3,41.55,138.89
balance,FFA_mpi,RING,REMOVE,WORST,WORST,4,4,SSE,3,45.11,138.91
balance,GWO_mpi,RING,REMOVE,WORST,WORST,4,4,SSE,3,43.29,138.93
balance,WOA_mpi,RING,REMOVE,WORST,WORST,4,4,SSE,3,43.37,140.39
balance,MVO_mpi,RING,REMOVE,WORST,WORST,4,4,SSE,3,43.13,138.9
balance,MFO_mpi,RING,REMOVE,WORST,WORST,4,4,SSE,3,43.61,138.95
balance,CS_mpi,RING,REMOVE,WORST,WORST,4,4,SSE,3,85.37,140.41
balance,SSA_mpi,RING,REMOVE,WORST,RANDOM,4,4,SSE,3,43.47,138.89
balance,PSO_mpi,RING,REMOVE,WORST,RANDOM,4,4,SSE,3,43.39,138.9
balance,GA_mpi,RING,REMOVE,WORST,RANDOM,4,4,SSE,3,42.08,143.51
balance,BAT_mpi,RING,REMOVE,WORST,RANDOM,4,4,SSE,3,41.08,138.9
balance,FFA_mpi,RING,REMOVE,WORST,RANDOM,4,4,SSE,3,45.54,138.91
balance,GWO_mpi,RING,REMOVE,WORST,RANDOM,4,4,SSE,3,42.82,138.92
balance,WOA_mpi,RING,REMOVE,WORST,RANDOM,4,4,SSE,3,44.07,140.12
balance,MVO_mpi,RING,REMOVE,WORST,RANDOM,4,4,SSE,3,43.91,138.9
balance,MFO_mpi,RING,REMOVE,WORST,RANDOM,4,4,SSE,3,43.48,139.01
balance,CS_mpi,RING,REMOVE,WORST,RANDOM,4,4,SSE,3,85.59,140.4
balance,SSA_mpi,RING,REMOVE,RANDOM,BEST,4,4,SSE,3,43.7,138.89
balance,PSO_mpi,RING,REMOVE,RANDOM,BEST,4,4,SSE,3,43.56,138.95
balance,GA_mpi,RING,REMOVE,RANDOM,BEST,4,4,SSE,3,43.43,140.21
balance,BAT_mpi,RING,REMOVE,RANDOM,BEST,4,4,SSE,3,40.68,138.89
balance,FFA_mpi,RING,REMOVE,RANDOM,BEST,4,4,SSE,3,45.37,138.9
balance,GWO_mpi,RING,REMOVE,RANDOM,BEST,4,4,SSE,3,43.32,138.91
balance,WOA_mpi,RING,REMOVE,RANDOM,BEST,4,4,SSE,3,43.16,139.75
balance,MVO_mpi,RING,REMOVE,RANDOM,BEST,4,4,SSE,3,43.01,138.9
balance,MFO_mpi,RING,REMOVE,RANDOM,BEST,4,4,SSE,3,43.62,138.91
balance,CS_mpi,RING,REMOVE,RANDOM,BEST,4,4,SSE,3,86.51,140.7
balance,SSA_mpi,RING,REMOVE,RANDOM,WORST,4,4,SSE,3,43.29,138.89
balance,PSO_mpi,RING,REMOVE,RANDOM,WORST,4,4,SSE,3,43.05,138.94
balance,GA_mpi,RING,REMOVE,RANDOM,WORST,4,4,SSE,3,42.42,140.41
balance,BAT_mpi,RING,REMOVE,RANDOM,WORST,4,4,SSE,3,40.77,138.89
balance,FFA_mpi,RING,REMOVE,RANDOM,WORST,4,4,SSE,3,45.33,138.9
balance,GWO_mpi,RING,REMOVE,RANDOM,WORST,4,4,SSE,3,43.28,138.92
balance,WOA_mpi,RING,REMOVE,RANDOM,WORST,4,4,SSE,3,42.78,139.85
balance,MVO_mpi,RING,REMOVE,RANDOM,WORST,4,4,SSE,3,42.3,138.9
balance,MFO_mpi,RING,REMOVE,RANDOM,WORST,4,4,SSE,3,43.4,138.9
balance,CS_mpi,RING,REMOVE,RANDOM,WORST,4,4,SSE,3,83.12,140.73
balance,SSA_mpi,RING,REMOVE,RANDOM,RANDOM,4,4,SSE,3,43.09,138.89
balance,PSO_mpi,RING,REMOVE,RANDOM,RANDOM,4,4,SSE,3,42.66,138.94
balance,GA_mpi,RING,REMOVE,RANDOM,RANDOM,4,4,SSE,3,42.82,140.55
